global_pair_index,index_G,index_H,g6_G,g6_H,n_G,n_H,gamma_t_cartesian,gamma_direct,slack,cartesian_set,direct_set,cartesian_nodes_searched,direct_nodes_searched,direct_components
277,1,136,BW,E]zo,3,6,4,4,0,0;7;12;13,12;2;14;15,10,23,1
278,1,137,BW,E]zw,3,6,3,3,0,5;17;11,17;5;12,4,9,1
279,1,138,BW,E]~o,3,6,4,4,0,12;13;0;7,14;0;12;13,17,27,1
280,1,139,BW,E]~w,3,6,3,3,0,4;16;10,16;4;17,4,10,1
281,1,140,BW,E^~w,3,6,3,3,0,2;14;8,14;2;15,4,10,1
282,1,141,BW,E~~w,3,6,3,3,0,12;0;6,13;1;12,4,11,1
283,2,2,Bw,Bw,3,3,3,3,0,1;0;2,0;1;2,4,10,1
284,2,3,Bw,CF,3,4,3,3,0,3;7;11,7;3;11,4,8,1
285,2,4,Bw,CU,3,4,4,4,0,3;1;10;8,7;4;3;0,13,15,1
286,2,5,Bw,CV,3,4,3,3,0,3;7;11,7;3;11,4,8,1
287,2,6,Bw,C],3,4,4,4,0,2;11;6;3,0;6;2;3,18,21,1
288,2,7,Bw,C^,3,4,3,3,0,2;6;10,6;2;3,4,10,1
289,2,8,Bw,C~,3,4,3,3,0,1;5;9,0;4;1,4,12,1
290,2,9,Bw,D?{,3,5,3,3,0,4;9;14,9;4;14,4,8,1
291,2,10,Bw,DCw,3,5,5,4,1,4;9;14;8;5,9;5;4;0,19,15,1
292,2,11,Bw,DC{,3,5,3,3,0,4;9;14,9;4;14,4,8,1
293,2,12,Bw,DEk,3,5,5,4,1,3;8;13;7;9,8;9;3;4,19,15,1
294,2,13,Bw,DEw,3,5,4,4,0,4;2;8;13,9;0;4;3,11,15,1
295,2,14,Bw,DE{,3,5,3,3,0,4;9;14,9;4;14,4,8,1
296,2,15,Bw,DFw,3,5,4,4,0,3;14;8;4,8;0;3;4,14,21,1
297,2,16,Bw,DF{,3,5,3,3,0,3;8;13,8;3;4,4,10,1
298,2,17,Bw,DQo,3,5,5,4,1,0;5;10;1;3,5;11;7;13,20,9,1
299,2,18,Bw,DQw,3,5,5,4,1,1;6;11;2;0,6;1;4;9,31,17,1
300,2,19,Bw,DQ{,3,5,3,3,0,4;9;14,9;4;14,4,10,1
301,2,20,Bw,DTw,3,5,4,4,0,4;1;8;13,9;4;5;0,11,17,1
302,2,21,Bw,DT{,3,5,3,3,0,4;9;14,9;4;14,4,8,1
