graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
KQzSA?_C?O?_,12,14,4,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KQz[A?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1764,6,63,8,3,3840,6,63,0-2;1-3;4-5,6,1764,6,3,4032,0-2;1-3;4-5,0,-3
KQzkA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1512,6,63,8,3,3840,6,63,0-2;1-3;4-5,6,1512,6,3,4032,0-2;1-3;4-5,0,-3
KQzsA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KQz{A?_C?O?_,12,16,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-2;1-3;4-5,6,2016,6,3,4032,0-2;1-3;4-5,0,-3
KQ~sA?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KQ~{A?_C?O?_,12,17,6,1,0,0,6,63,6,63,6,2016,6,63,7,16,3008,6,63,0-2;1-3;4-5,6,2016,6,3,4032,0-2;1-3;4-5,0,-3
KTnsA?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1008,6,63,8,1,3970,6,63,0-2;1-5;3-4,6,1008,6,3,4032,0-2;1-5;3-4,0,-3
KTn{A?_C?O?_,12,17,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-2;1-5;3-4,6,2016,6,3,4032,0-2;1-5;3-4,0,-3
KTzkA?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1512,6,63,8,1,3970,6,63,0-3;1-4;2-5,6,1512,6,3,4032,0-3;1-4;2-5,0,-3
KTzsA?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1008,6,63,8,1,3970,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KTz{A?_C?O?_,12,17,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-2;1-4;3-5,6,2016,6,3,4032,0-2;1-4;3-5,0,-3
KT~{A?_C?O?_,12,18,6,1,0,0,6,63,6,63,6,2016,6,63,7,16,3008,6,63,0-2;1-4;3-5,6,2016,6,3,4032,0-2;1-4;3-5,0,-3
KUZSA?_C?O?_,12,14,4,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KUZcA?_C?O?_,12,14,4,1,0,0,6,63,6,63,6,504,6,63,8,3,3840,6,63,0-3;1-4;2-5,6,504,6,3,4032,0-3;1-4;2-5,0,-3
KUZsA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KUZ{A?_C?O?_,12,16,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-2;1-3;4-5,6,2016,6,3,4032,0-2;1-3;4-5,0,-3
KUxsA?_C?O?_,12,15,4,1,0,0,6,63,6,63,6,1008,6,63,8,3,3840,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KUz[A?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1764,6,63,8,1,3970,6,63,0-2;1-3;4-5,6,1764,6,3,4032,0-2;1-3;4-5,0,-3
KUzsA?_C?O?_,12,16,5,1,0,0,6,63,6,63,6,1008,6,63,8,1,3970,6,63,0-2;1-4;3-5,6,1008,6,3,4032,0-2;1-4;3-5,0,-3
KUz{A?_C?O?_,12,17,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-2;1-3;4-5,6,2016,6,3,4032,0-2;1-3;4-5,0,-3
KU~{A?_C?O?_,12,18,6,1,0,0,6,63,6,63,6,2016,6,63,7,16,3008,6,63,0-2;1-3;4-5,6,2016,6,3,4032,0-2;1-3;4-5,0,-3
KV~{A?_C?O?_,12,19,6,1,0,0,6,63,6,63,6,2016,6,63,7,8,3520,6,63,0-2;1-3;4-5,6,2016,6,3,4032,0-2;1-3;4-5,0,-3
K]y{A?_C?O?_,12,17,5,1,0,0,6,63,6,63,6,1890,6,63,8,1,3970,6,63,0-2;1-3;4-5,6,1890,6,3,4032,0-2;1-3;4-5,0,-3
K]zkA?_C?O?_,12,17,5,1,0,0,6,63,6,63,6,1512,6,63,8,1,3970,6,63,0-2;1-3;4-5,6,1512,6,3,4032,0-2;1-3;4-5,0,-3
